Id,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Website,Exchange
1,YI,"111, Inc.",6.75,$551.2M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,NASDAQ
2,PIH,"1347 Property Insurance Holdings, Inc.",5.6,$33.67M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,NASDAQ
3,PIHPP,"1347 Property Insurance Holdings, Inc.",24.9959,$17.5M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,NASDAQ
4,TURN,180 Degree Capital Corp.,1.99,$61.93M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,NASDAQ
5,FLWS,"1-800 FLOWERS.COM, Inc.",20,$1.29B,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,NASDAQ
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",9.4499,$46.08M,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow,NASDAQ
7,FCCY,1st Constitution Bancorp (NJ),18.93,$163.32M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,NASDAQ
8,SRCE,1st Source Corporation,44.58,$1.14B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,NASDAQ
9,VNET,"21Vianet Group, Inc.",7.19,$808.1M,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,NASDAQ
10,TWOU,"2U, Inc.",35.89,$2.26B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,NASDAQ
11,QFIN,"360 Finance, Inc.",13.67,$1.97B,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin,NASDAQ
12,JOBS,"51job, Inc.",70.21,$4.39B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,NASDAQ
13,JFK,8i Enterprises Acquisition Corp,9.91,$73.61M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk,NASDAQ
14,JFKKR,8i Enterprises Acquisition Corp,0.28,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr,NASDAQ
15,JFKKU,8i Enterprises Acquisition Corp,10.3,$51.5M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku,NASDAQ
16,JFKKW,8i Enterprises Acquisition Corp,0.19,$1.09M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw,NASDAQ
17,EGHT,8x8 Inc,24.2,$2.33B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,NASDAQ
18,AAON,"AAON, Inc.",48.03,$2.5B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,NASDAQ
19,ABEO,Abeona Therapeutics Inc.,5.37,$264M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,NASDAQ
20,ABEOW,Abeona Therapeutics Inc.,1.17,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,NASDAQ
21,ABIL,Ability Inc.,1.09,$8.76M,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,NASDAQ
22,ABMD,"ABIOMED, Inc.",256.15,$11.56B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,NASDAQ
23,AXAS,Abraxas Petroleum Corporation,1.13,$190.26M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,NASDAQ
24,ACIU,AC Immune SA,5.8,$391.86M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,NASDAQ
25,ACIA,"Acacia Communications, Inc.",44.79,$1.82B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,NASDAQ
26,ACTG,Acacia Research Corporation,3.1,$155.2M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,NASDAQ
27,ACHC,"Acadia Healthcare Company, Inc.",34,$3.01B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,NASDAQ
28,ACAD,ACADIA Pharmaceuticals Inc.,25.42,$3.66B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,NASDAQ
29,ACAM,Acamar Partners Acquisition Corp.,9.8,$374.33M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam,NASDAQ
30,ACAMU,Acamar Partners Acquisition Corp.,9.99,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu,NASDAQ
31,ACAMW,Acamar Partners Acquisition Corp.,0.75,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw,NASDAQ
32,ACST,"Acasti Pharma, Inc.",0.91,$71.1M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,NASDAQ
33,AXDX,"Accelerate Diagnostics, Inc.",20.06,$1.09B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,NASDAQ
34,XLRN,Acceleron Pharma Inc.,38.36,$2.02B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,NASDAQ
35,ARAY,Accuray Incorporated,3.7,$325.69M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,NASDAQ
36,ACRX,"AcelRx Pharmaceuticals, Inc.",2.34,$184.66M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,NASDAQ
37,ACER,Acer Therapeutics Inc.,16.99,$171.38M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,NASDAQ
38,ACHV,"Achieve Life Sciences, Inc. ",2.53,$19.8M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,NASDAQ
39,ACHN,"Achillion Pharmaceuticals, Inc.",2.98,$413.4M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,NASDAQ
40,ACIW,"ACI Worldwide, Inc.",32.03,$3.54B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,NASDAQ
41,ACRS,"Aclaris Therapeutics, Inc.",4.89,$201.82M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,NASDAQ
42,ACMR,"ACM Research, Inc.",16.73,$269.22M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,NASDAQ
43,ACNB,ACNB Corporation,36.76,$259.15M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,NASDAQ
44,ACOR,"Acorda Therapeutics, Inc.",7.68,$369.4M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,NASDAQ
45,ACTT,Act II Global Acquisition Corp.,9.71,$291.3M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/actt,NASDAQ
46,ACTTU,Act II Global Acquisition Corp.,10.11,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu,NASDAQ
47,ACTTW,Act II Global Acquisition Corp.,0.68,$14.79M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw,NASDAQ
48,ATVI,"Activision Blizzard, Inc",45.07,$34.52B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,NASDAQ
49,ADMS,"Adamas Pharmaceuticals, Inc.",4.77,$131.33M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,NASDAQ
50,ADMP,Adamis Pharmaceuticals Corporation,1.42,$67.37M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,NASDAQ
51,ADAP,Adaptimmune Therapeutics plc,3.66,$383.3M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,NASDAQ
52,ADUS,Addus HomeCare Corporation,72.56,$956.53M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,NASDAQ
53,AEY,"ADDvantage Technologies Group, Inc.",1.45,$15.02M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,NASDAQ
54,IOTS,Adesto Technologies Corporation,7.85,$233.3M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,NASDAQ
55,ADIL,"Adial Pharmaceuticals, Inc",1.93,$19.72M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,NASDAQ
56,ADILW,"Adial Pharmaceuticals, Inc",0.3201,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,NASDAQ
57,ADMA,ADMA Biologics Inc,3.82,$226.59M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,NASDAQ
58,ADBE,Adobe Inc.,275.6,$134.48B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,NASDAQ
